# Agri-Monitor v5 data log
# study_id: TST1234
# operator: DAKS
# crop: Eng. Cucumber
# location: V
# planting: 2026-06-08
epoch_unix,uptime_ms,slot,plot_id,treatment,replicate,block,depth_cm,temp_c_x10,moist_pct_x10,moist_calib_x10,rssi_neg,flags,seq,temp_alert,moist_alert,sleep_interval_s
1780817208,1052775,3,p3,1,1,1,20,299,171,171,82,0,16499,,,300
1780817383,1227853,2,P2,1,1,1,20,298,183,183,84,0,16685,,,300
1780817508,1353052,3,p3,1,1,1,20,298,171,171,80,0,16500,,,300
1780817683,1528135,2,P2,1,1,1,20,298,183,183,84,0,16686,,,300
1780817809,1653418,3,p3,1,1,1,20,298,171,171,79,0,16501,,,300
1780817982,27218,2,P2,1,1,1,20,298,183,183,83,0,16687,,,300
1780818108,152617,3,p3,1,1,1,20,298,171,171,78,0,16502,,,300
1780818283,327492,2,P2,1,1,1,20,298,183,183,83,0,16688,,,300
1780818408,452892,3,p3,1,1,1,20,298,171,171,80,0,16503,,,300
1780818583,627767,2,P2,1,1,1,20,298,183,183,82,0,16689,,,300
1780818708,753168,3,p3,1,1,1,20,298,171,171,82,0,16504,,,300
1780818883,928235,2,P2,1,1,1,20,298,183,183,83,0,16690,,,300
1780819610,1654487,3,p3,1,1,1,20,298,171,171,82,0,16507,,,300
1780819910,1954970,3,p3,1,1,1,20,298,171,171,83,0,16508,,,300
1780820210,2255244,3,p3,1,1,1,20,299,171,171,81,0,16509,,,300
1780820385,29302,2,P2,1,1,1,20,298,183,183,82,0,16695,,,300
1780820685,329588,2,P2,1,1,1,20,298,183,183,81,0,16696,,,300
1780820810,454785,3,p3,1,1,1,20,299,171,171,83,0,16511,,,300
1780821286,930380,2,P2,1,1,1,20,298,183,183,83,0,16698,,,300
1780821586,1230984,2,P2,1,1,1,20,298,183,183,83,0,16699,,,300
1780821711,1356135,3,p3,1,1,1,20,299,171,171,83,0,16514,,,300
1780821887,1531278,2,P2,1,1,1,20,299,183,183,82,0,16700,,,300
1780822312,1957237,3,p3,1,1,1,20,300,171,171,84,0,16516,,,300
1780822487,2132071,2,P2,1,1,1,20,299,183,183,82,0,16702,,,300
1780822788,2432404,2,P2,1,1,1,20,299,183,183,84,0,16703,,,300
1780822913,2558017,3,p3,1,1,1,20,300,171,171,84,0,16518,,,300
1780823214,2858290,3,p3,1,1,1,20,300,171,171,82,0,16519,,,300
1780823689,3333753,2,P2,1,1,1,20,299,183,183,83,0,16706,,,300
1780823814,3459079,3,p3,1,1,1,20,300,171,171,84,0,16521,,,300
1780824115,3759674,3,p3,1,1,1,20,301,171,171,82,0,16522,,,300
1780824415,4059947,3,p3,1,1,1,20,301,171,171,80,0,16523,,,300
1780824590,4235041,2,P2,1,1,1,20,300,183,183,82,0,16709,,,300
1780824891,4535326,2,P2,1,1,1,20,300,183,183,82,0,16710,,,300
1780825016,4660798,3,p3,1,1,1,20,301,171,171,83,0,16525,,,300
1780825191,4835699,2,P2,1,1,1,20,300,183,183,83,0,16711,,,300
1780825316,4961071,3,p3,1,1,1,20,301,171,171,82,0,16526,,,300
1780825491,5135990,2,P2,1,1,1,20,301,183,183,83,0,16712,,,300
1780825617,5261478,3,p3,1,1,1,20,301,171,171,81,0,16527,,,300
1780825792,5436280,2,P2,1,1,1,20,301,183,183,83,0,16713,,,300
1780825917,5561992,3,p3,1,1,1,20,301,171,171,82,0,16528,,,300
1780826217,5862266,3,p3,1,1,1,20,302,171,171,82,0,16529,,,300
1780826391,35776,2,P2,1,1,1,20,301,183,183,83,0,16715,,,300
1780826817,461809,3,p3,1,1,1,20,302,171,171,82,0,16531,,,300
1780833091,4575521,2,P2,1,1,1,20,279,228,228,81,0,16904,,,300
1780833992,5476939,2,P2,1,1,1,20,279,228,228,82,0,16907,,,300
1780835194,6678741,2,P2,1,1,1,20,280,228,228,85,0,16911,,,300
1780838873,10357707,3,p3,1,1,1,20,286,232,232,80,0,16701,,,300
1780839173,10657981,3,p3,1,1,1,20,286,232,232,80,0,16702,,,300
1780839473,10958307,3,p3,1,1,1,20,286,232,232,79,0,16703,,,300
1780839774,11258641,3,p3,1,1,1,20,286,232,232,81,0,16704,,,300
1780840074,11558917,3,p3,1,1,1,20,286,232,232,79,0,16705,,,300
1780840374,11859189,3,p3,1,1,1,20,287,232,232,80,0,16706,,,300
1780840675,12159463,3,p3,1,1,1,20,287,232,232,78,0,16707,,,300
1780840751,12235947,2,P2,1,1,1,20,283,226,226,82,0,16915,,,300
1780840975,12459789,3,p3,1,1,1,20,288,232,232,78,0,16708,,,300
1780841051,12536227,2,P2,1,1,1,20,283,226,226,83,0,16916,,,300
1780841275,12760062,3,p3,1,1,1,20,288,232,232,79,0,16709,,,300
1780841352,12836512,2,P2,1,1,1,20,284,226,226,83,0,16917,,,300
1780841576,13060337,3,p3,1,1,1,20,288,232,232,79,0,16710,,,300
1780841848,13332802,1,P1,0,1,1,20,295,267,267,84,0,9061,,,300
1780841876,13360703,3,p3,1,1,1,20,288,232,232,80,0,16711,,,300
1780842176,13661036,3,p3,1,1,1,20,288,232,232,80,0,16712,,,300
1780842477,13961370,3,p3,1,1,1,20,288,232,232,80,0,16713,,,300
1780842777,14261716,3,p3,1,1,1,20,289,232,232,81,0,16714,,,300
1780843077,14561991,3,p3,1,1,1,20,289,232,232,83,0,16715,,,300
1780843377,14862265,3,p3,1,1,1,20,289,232,232,81,0,16716,,,300
1780843678,15162619,3,p3,1,1,1,20,289,232,232,79,0,16717,,,300
1780843978,15462953,3,p3,1,1,1,20,290,232,232,80,0,16718,,,300
1780844278,15763226,3,p3,1,1,1,20,290,232,232,79,0,16719,,,300
1780848630,20114952,3,p3,1,1,1,20,292,233,233,83,0,16714,,,300
1780848930,20415224,3,p3,1,1,1,20,292,233,233,79,0,16715,,,300
1780849231,20715570,3,p3,1,1,1,20,292,233,233,80,0,16716,,,300
1780849531,21015843,3,p3,1,1,1,20,292,233,233,80,0,16717,,,300
1780849831,21316231,3,p3,1,1,1,20,292,233,233,80,0,16718,,,300
1780850132,21616563,3,p3,1,1,1,20,292,233,233,79,0,16719,,,300
1780850731,315767,3,p3,1,1,1,20,292,232,232,81,0,16721,,,300
1780851031,616038,3,p3,1,1,1,20,292,232,232,77,0,16722,,,300
1780851331,916313,3,p3,1,1,1,20,292,232,232,77,0,16723,,,300
1780851632,1216688,3,p3,1,1,1,20,292,232,232,78,0,16724,,,300
1780851932,1516960,3,p3,1,1,1,20,293,232,232,78,0,16725,,,300
